Chapter,Question,Answer
1,What is the smallest unit of biological structure that meets the functional requirements of living organisms?,The smallest unit of biological structure that meets the functional requirements of living organisms is the cell.
1,What is the characteristic that distinguishes living organisms from non-living matter?,"The characteristic that distinguishes living organisms from non-living matter is the ability to grow, reproduce, and respond to changes in their environment."
1,What is the hierarchical order of biological organization from most inclusive to least inclusive?,"The hierarchical order of biological organization from most inclusive to least inclusive is: biosphere, ecosystem, community, population, organism, tissue, organ, cell, molecule."
1,What are the two necessary characteristics for an organism to be considered alive?,The two necessary characteristics for an organism to be considered alive are: homeostasis and metabolism.
1,What is homeostasis?,Homeostasis is the ability of an organism to maintain a stable internal environment despite changes in the external environment.
1,What is metabolism?,Metabolism is the sum of all chemical reactions that occur within an organism to maintain life and support growth.
1,What are the three domains of life?,"The three domains of life are: Archaea, Bacteria, and Eukarya."
1,What is a phylogenetic tree?,A phylogenetic tree is a diagram that shows the evolutionary relationships among different organisms based on their shared derived characteristics.
2,What is the atomic number of xenon?,Xenon has an atomic number of 54.
2,How many neutrons does a typical atom have?,A typical atom has no neutrons.
2,What is the difference between saturated and unsaturated fatty acids?,"Saturated fatty acids have only single bonds between carbon atoms, while unsaturated fatty acids have one or more double bonds."
2,What is the function of buffers in maintaining pH levels in cells?,"Buffers help prevent drastic swings in pH by reacting with excess hydrogen ions (H+) to form a stable compound, thus maintaining a relatively constant pH."
2,Why is water essential for life?,Water stabilizes temperature and is essential for many biological processes.
2,What property of carbon makes it essential for organic compounds?,Carbon's ability to form bonds with as many as four other atoms or molecules makes it essential for organic compounds.
2,What is the difference between a base and an acid?,"Bases donate hydroxide ions (OH-), while acids donate hydrogen ions (H+)."
2,Why are hydrogen bonds necessary for cells?,"Hydrogen bonds stabilize the three-dimensional structure of proteins and nucleic acids, allowing them to perform their biological functions."
2,What is the function of a neutral atom or molecule in solution?,"A neutral atom or molecule in solution can act as a buffer, helping to maintain a relatively constant pH."
3,What are the four types of biological macromolecules?,"The four types of biological macromolecules are proteins, carbohydrates, nucleic acids, and lipids."
3,What is the generic structure of an amino acid?,"Amino acids have the generic structure R-C-C(=O)-N-R, where R represents different carbon-based side chains."
3,What is the role of the double helix structure of DNA?,The double helix structure of DNA supports its role in encoding the genome by providing a template for DNA replication and editing of both strands of DNA.
3,Why are biological macromolecules considered organic?,"Biological macromolecules are considered organic because they contain carbon and hydrogen, and lack oxygen and nitrogen, which are typical characteristics of inorganic compounds."
